Date,Opponent,Map,Score
2026-06-28,i7,Hacienda,250-47
2026-06-27,i7,Summit,250-43
2026-06-30,DVS,Summit,250-163
2026-06-30,DVS,Hacienda,250-79
2026-06-30,DVS,Combine,250-141
2026-06-30,DVS,Raid,4-3
2026-06-30,DVS,Crossroads Strike,4-0
2026-06-30,DVS,Firing Range,8-9
2026-06-30,DVS,Coastal,5-9
2026-06-30,OUG,Takeoff,250-199
2026-06-30,OUG,Combine,176-250
2026-06-30,OUG,Standoff,1-4
2026-06-30,OUG,Meltdown,9-5
2026-06-30,OUG,Slums,5-9
2026-07-01,ALU,Takeoff,231-250
2026-07-02,ELV,Takeoff,250-167
2026-07-02,ELV,Summit,250-249
2026-07-02,ELV,Arsenal,250-183
2026-07-02,ELV,Crossroads Strike,4-0
2026-07-02,ELV,Standoff,1-4
2026-07-02,ELV,Firing Range,9-6
2026-07-02,ELV,Tunisia,0-9
2026-07-03,XROCK,Firing Range,9-5
2026-07-03,XROCK,Crossroads Strike,2-4
2026-07-02,OUG,Takeoff,250-233
2026-07-02,OUG,Raid,4-0
2026-07-02,OUG,Tunisia,6-9
2026-07-07,OUG,Combine,250-183
2026-07-07,OUG,Arsenal,250-232
2026-07-07,OUG,Raid,0-4
2026-07-07,OUG,Crossroads Strike,3-4
2026-07-07,OUG,Tunisia,7-9
2026-07-07,OUG,Meltdown,4-9
2026-07-07,ELV,Takeoff,209-250
2026-07-07,ELV,Combine,250-193
2026-07-07,ELV,Crossroads Strike,4-3
2026-07-07,ELV,Standoff,4-0
2026-07-07,ELV,Tunisia,3-9
2026-07-07,ELV,Coastal,9-6
2026-07-12,ELV,Hacienda,197-250
2026-07-12,ELV,Takeoff,226-250
2026-07-12,ELV,Standoff,3-0
2026-07-12,ELV,Crossroads Strike,3-1
2026-07-12,ELV,Coastal,9-6
2026-07-12,ELV,Firing Range,9-4
2026-07-14,ELV,Tunisia,5-9
2026-07-14,ELV,Coastal,9-3
2026-07-14,ELV,Combine,174-250
2026-07-14,ELV,Summit,175-250
2026-07-14,ELV,Crossroads Strike,4-3
2026-07-14,ELV,Raid,3-4
2026-07-16,ELV,Arsenal,241-250
2026-07-16,ELV,Hacienda,250-184
2026-07-16,ELV,Raid,4-1
2026-07-16,ELV,Standoff,4-0
2026-07-16,ELV,Meltdown,9-5
2026-07-16,ELV,Tunisia,5-9
2026-07-24,Q9,Summit,167-250
2026-07-24,Q9,Takeoff,250-179
2026-07-24,Q9,Raid,0-4
2026-07-24,Q9,Standoff,4-3
2026-07-24,Q9,Firing Range,9-6
2026-07-28,ELV,Meltdown,9-8
2026-07-28,ELV,Coastal,3-9
2026-07-28,ELV,Crossroads Strike,3-4
2026-07-28,ELV,Standoff,4-1
2026-07-28,ELV,Combine,250-170
2026-07-28,ELV,Takeoff,213-250
2026-07-05,Wolves,Summit,156-250
2026-07-05,Wolves,Hacienda,203-250
2026-07-05,Wolves,Raid,4-2
2026-07-05,Wolves,Standoff,2-4
2026-07-05,Wolves,Tunisia,9-1
2026-07-05,Wolves,Firing Range,9-6
2026-07-10,Wolves,Hacienda,250-227
2026-07-10,Wolves,Combine,129-250
2026-07-10,Wolves,Standoff,0-4
2026-07-10,Wolves,Crossroads Strike,3-4
2026-07-10,Wolves,Firing Range,5-9
2026-07-10,Wolves,Tunisia,3-9
