Date,Opponent,Map,Score
2026-02-25,Q9,Hacienda,208-250
2026-02-25,Q9,Combine,216-250
2026-02-25,Q9,Arsenal,250-176
2026-02-25,Q9,Summit,250-249
2026-02-25,Q9,Raid,0-4
2026-02-25,Q9,Takeoff,250-231
2026-02-24,XROCK,Summit,250-108
2026-02-24,XROCK,Combine,215-250
2026-02-24,XROCK,Hacienda,250-210
2026-02-24,XROCK,Takeoff,250-70
2026-02-24,XROCK,Arsenal,250-83
2026-02-24,XROCK,Raid,3-2
2026-02-24,XROCK,Crossroads Strike,3-2
2026-02-26,ALU,Combine,172-250
2026-02-26,ALU,Takeoff,161-250
2026-02-26,ALU,Hacienda,142-250
2026-02-26,ALU,Coastal,9-7
2026-02-26,ALU,Tunisia,4-9
2026-02-26,ALU,Meltdown,8-9
2026-02-26,ALU,Raid,4-3
2026-02-27,XROCK,Hacienda,250-162
2026-02-27,XROCK,Combine,250-150
2026-02-27,XROCK,Takeoff,250-104
2026-02-27,XROCK,Summit,250-96
2026-02-27,XROCK,Raid,4-3
2026-02-27,XROCK,Crossroads Strike,4-2
2026-02-27,XROCK,Firing Range,9-2
2026-02-27,XROCK,Tunisia,9-6
2026-03-02,Q9,Combine,222-250
2026-03-02,Q9,Hacienda,250-197
2026-03-02,Q9,Arsenal,250-119
2026-03-02,Q9,Standoff,2-4
2026-03-02,Q9,Crossroads Strike,1-4
2026-03-02,Q9,Slums,3-9
2026-03-02,ALU,Takeoff,174-250
2026-03-02,ALU,Combine,250-215
2026-03-02,ALU,Standoff,0-4
2026-03-02,ALU,Raid,0-4
2026-03-02,ALU,Slums,1-9
2026-03-02,ALU,Tunisia,3-7
2026-03-03,DVS,Takeoff,250-93
2026-03-03,DVS,Hacienda,139-250
2026-03-03,DVS,Summit,250-128
2026-03-03,DVS,Combine,250-215
2026-03-03,DVS,Raid,1-4
2026-03-03,DVS,Standoff,2-4
2026-03-03,DVS,Crossroads Strike,2-4
2026-03-03,DVS,Slums,6-9
2026-03-03,DVS,Coastal,7-9
2026-03-04,XROCK,Summit,250-130
2026-03-04,XROCK,Hacienda,250-58
2026-03-04,XROCK,Takeoff,250-58
2026-03-04,XROCK,Coastal,9-6
2026-03-04,XROCK,Slums,8-9
2026-03-04,XROCK,Tunisia,9-5
2026-03-05,Q9,Crossroads Strike,3-4
2026-03-05,Q9,Standoff,2-4
2026-03-06,ETs,Crossroads Strike,4-3
2026-03-06,ETs,Standoff,4-0
2026-03-06,ETs,Raid,4-0
2026-03-06,ETs,Slums,9-5
2026-03-07,Wolves,Summit,250-155
2026-03-07,Wolves,Combine,250-235
2026-03-07,Wolves,Hacienda,250-98
2026-03-07,Wolves,Takeoff,250-104
2026-03-07,Wolves,Raid,4-3
2026-03-07,Wolves,Crossroads Strike,4-3
2026-03-07,Wolves,Standoff,4-2
2026-03-07,Wolves,Tunisia,9-7
2026-03-07,Wolves,Coastal,9-5
2026-03-10,OUG,Combine,114-250
2026-03-10,OUG,Raid,1-4
2026-03-10,OUG,Crossroads Strike,4-2
2026-03-14,Q9,Arsenal,250-140
2026-03-14,Q9,Crossroads Strike,2-4
2026-03-14,Q9,Hacienda,200-250
2026-03-14,Q9,Raid,2-4
2026-03-14,Q9,Slums,5-9
2026-03-16,XROCK,Summit,250-167
2026-03-16,XROCK,Hacienda,250-66
2026-03-16,XROCK,Standoff,4-0
2026-03-16,XROCK,Crossroads Strike,3-4
2026-03-16,ELV,Hacienda,223-250
2026-03-16,ELV,Combine,210-250
2026-03-16,ELV,Arsenal,100-250
2026-03-16,ELV,Takeoff,211-250
2026-03-16,ELV,Crossroads Strike,0-4
2026-03-16,ELV,Standoff,4-0
2026-03-16,ELV,Raid,3-4
2026-03-16,ELV,Tunisia,5-9
2026-03-16,ELV,Coastal,8-9
2026-03-17,PAC,Hacienda,250-89
2026-03-17,PAC,Combine,250-104
2026-03-17,PAC,Summit,250-139
2026-03-17,PAC,Standoff,1-4
2026-03-17,PAC,Raid,4-2
2026-03-17,PAC,Coastal,9-6
2026-03-17,GAL,Arsenal,250-204
2026-03-17,GAL,Takeoff,196-250
2026-03-17,GAL,Combine,250-89
2026-03-17,GAL,Crossroads Strike,1-4
2026-03-17,GAL,Raid,4-3
2026-03-17,GAL,Tunisia,9-8
2026-03-17,GAL,Slums,9-8
2026-03-18,RVL,Hacienda,250-224
2026-03-18,RVL,Arsenal,250-210
2026-03-18,RVL,Combine,250-77
2026-03-18,RVL,Crossroads Strike,4-2
2026-03-18,RVL,Standoff,4-0
2026-03-18,RVL,Slums,5-9
2026-03-18,RVL,Coastal,9-6
2026-03-18,ELV,Summit,200-250
2026-03-18,ELV,Hacienda,194-250
2026-03-18,ELV,Arsenal,250-235
2026-03-18,ELV,Raid,4-1
2026-03-18,ELV,Crossroads Strike,4-2
2026-03-18,ELV,Standoff,4-1
2026-03-18,ELV,Tunisia,7-1
2026-03-18,ELV,Firing Range,7-5
2026-03-18,ELV,Slums,3-7
2026-03-19,Q9,Arsenal,250-246
2026-03-19,Q9,Summit,250-176
2026-03-19,Q9,Standoff,4-1
2026-03-19,Q9,Crossroads Strike,4-3
2026-03-19,Q9,Tunisia,4-9
2026-03-19,Q9,Meltdown,5-9
2026-03-21,ALU,Summit,180-250
2026-03-23,ALU,Tunisia,9-6
2026-03-23,ALU,Meltdown,7-9
2026-03-23,ALU,Arsenal,188-250
2026-03-23,ALU,Hacienda,141-250
2026-03-23,ALU,Crossroads Strike,3-4
2026-03-23,DVS,Hacienda,250-133
2026-03-23,DVS,Arsenal,250-202
2026-03-23,DVS,Raid,2-4
2026-03-23,DVS,Crossroads Strike,4-1
2026-03-23,DVS,Firing Range,9-6
2026-03-23,DVS,Slums,5-9
2026-03-24,Q9,Arsenal,180-250
2026-03-24,Q9,Hacienda,250-241
2026-03-24,Q9,Crossroads Strike,0-4
2026-03-24,Q9,Raid,4-1
2026-03-24,Q9,Meltdown,8-9
2026-03-24,Q9,Slums,8-9
2026-03-24,ELV,Arsenal,184-250
2026-03-24,ELV,Hacienda,250-179
2026-03-24,ELV,Slums,3-7
2026-03-24,ELV,Tunisia,5-7
2026-03-24,ELV,Raid,4-2
2026-03-24,ELV,Standoff,0-4
2026-03-25,DVS,Combine,250-248
2026-03-25,DVS,Arsenal,250-146
2026-03-25,DVS,Hacienda,250-205
2026-03-25,DVS,Raid,1-4
2026-03-25,DVS,Crossroads Strike,4-2
2026-03-25,DVS,Tunisia,9-3
2026-03-25,ALU,Arsenal,186-250
2026-03-25,ALU,Hacienda,250-136
2026-03-25,ALU,Crossroads Strike,3-4
2026-03-25,ALU,Firing Range,9-7
2026-03-25,ALU,Coastal,6-9
2026-03-25,ALU,Summit,200-250
2026-03-25,ALU,Raid,4-2
2026-03-26,OUG,Takeoff,240-250
2026-03-26,OUG,Arsenal,57-250
2026-03-26,OUG,Raid,2-4
2026-03-26,ALU,Hacienda,225-250
2026-03-26,ALU,Takeoff,250-248
2026-03-26,ALU,Standoff,4-2
2026-03-26,ALU,Crossroads Strike,1-4
2026-03-26,ALU,Coastal,8-9
2026-03-28,XROCK,Summit,250-146
2026-03-28,XROCK,Coastal,5-9
2026-03-31,OUG,Hacienda,226-250
2026-03-31,OUG,Arsenal,250-244
2026-03-31,OUG,Crossroads Strike,4-0
2026-03-31,OUG,Raid,2-4
2026-03-31,OUG,Coastal,6-9
2026-03-31,XROCK,Combine,250-205
2026-03-31,XROCK,Takeoff,250-141
2026-03-31,XROCK,Hacienda,250-236
2026-03-31,XROCK,Firing Range,8-9
2026-03-31,XROCK,Slums,5-9
2026-03-31,XROCK,Standoff,4-2
2026-04-01,Wolves,Hacienda,250-246
2026-04-01,Wolves,Arsenal,93-250
2026-04-01,Wolves,Combine,102-250
2026-04-01,Wolves,Summit,250-223
2026-04-01,Wolves,Standoff,4-3
2026-04-01,Wolves,Crossroads Strike,3-4
2026-04-01,Wolves,Raid,4-3
2026-04-01,Wolves,Tunisia,3-9
2026-04-01,Wolves,Meltdown,6-9
2026-04-02,Wolves,Summit,209-250
2026-04-02,Wolves,Arsenal,249-250
2026-04-02,Wolves,Combine,155-250
2026-04-02,Wolves,Meltdown,8-9
2026-04-03,Q9,Hacienda,245-250
2026-04-03,Q9,Combine,250-238
2026-04-03,Q9,Raid,4-2
2026-04-03,Q9,Standoff,4-2
2026-04-03,Q9,Coastal,6-9
2026-04-03,Q9,Meltdown,9-8
2026-04-03,RVL,Summit,250-244
2026-04-03,RVL,Hacienda,250-190
2026-04-03,RVL,Arsenal,250-173
2026-04-02,ALU,Combine,180-250
2026-04-02,ALU,Takeoff,224-250
2026-04-02,ALU,Standoff,4-3
2026-04-02,ALU,Crossroads Strike,0-4
2026-04-02,ALU,Meltdown,4-9
2026-04-02,ALU,Tunisia,6-9
2026-04-04,ELV,Takeoff,250-225
2026-04-04,ELV,Arsenal,249-250
2026-04-04,ELV,Combine,120-250
2026-04-04,ELV,Standoff,4-0
2026-04-04,ELV,Raid,3-4
2026-04-04,ELV,Slums,9-8
2026-04-04,OUG,Combine,205-250
2026-04-04,OUG,Summit,250-249
2026-04-04,OUG,Coastal,5-9
2026-04-04,OUG,Standoff,4-3
2026-04-07,OUG,Takeoff,250-234
2026-04-07,OUG,Summit,223-250
2026-04-07,OUG,Standoff,4-1
2026-04-07,OUG,Crossroads Strike,4-1
2026-04-07,OUG,Firing Range,6-9
2026-04-07,OUG,Tunisia,9-6
2026-04-07,XROCK,Summit,250-90
2026-04-07,XROCK,Combine,250-46
2026-04-07,XROCK,Tunisia,5-9
2026-04-07,XROCK,Raid,4-2
2026-04-07,XROCK,Crossroads Strike,4-0
2026-04-07,XROCK,Meltdown,9-4
2026-04-08,Wolves,Summit,250-185
2026-04-08,Wolves,Hacienda,248-250
2026-04-08,Wolves,Crossroads Strike,1-4
2026-04-08,Wolves,Raid,1-4
2026-04-08,Wolves,Firing Range,5-9
2026-04-08,Wolves,Coastal,9-8
2026-04-08,GAL,Hacienda,250-108
2026-04-08,GAL,Arsenal,171-250
2026-04-08,GAL,Raid,4-1
2026-04-08,GAL,Standoff,3-4
2026-04-08,GAL,Meltdown,9-5
2026-04-08,GAL,Firing Range,9-6
2026-04-09,Wolves,Summit,250-168
2026-04-09,Wolves,Combine,250-204
2026-04-09,Wolves,Crossroads Strike,0-4
2026-04-09,Wolves,Standoff,4-2
2026-04-09,Wolves,Meltdown,9-4
