date,team1,team2,two_v_two_winner,slot,map_name,winner,winner_score,loser_score,series_winner,picked_by
2026-03-13,OUG,ETs,OUG,1,Tunisia,OUG,9,3
2026-03-13,OUG,ETs,OUG,2,Hacienda,OUG,250,128
2026-03-13,OUG,ETs,OUG,3,Crossroads Strike,OUG,4,0,
2026-03-14,ELV,HF,ELV,1,Firing Range,ELV,10,8
2026-03-14,ELV,HF,ELV,2,Combine,ELV,250,71
2026-03-14,ELV,HF,ELV,3,Crossroads Strike,HF,4,3
2026-03-14,ELV,HF,ELV,4,Slums,ELV,10,8
2026-03-12,Q9,ELV,Q9,1,Coastal,Q9,9,6
2026-03-12,Q9,ELV,Q9,2,Takeoff,Q9,250,220
2026-03-12,Q9,ELV,Q9,3,Standoff,ELV,4,1
2026-03-12,Q9,ELV,Q9,4,Firing Range,Q9,9,5
2026-03-12,OUG,Wolves,OUG,1,Meltdown,Wolves,9,7
2026-03-12,OUG,Wolves,OUG,2,Arsenal,OUG,250,196
2026-03-12,OUG,Wolves,OUG,3,Raid,OUG,4,2
2026-03-12,OUG,Wolves,OUG,4,Tunisia,Wolves,9,4
2026-03-12,OUG,Wolves,OUG,5,Summit,Wolves,250,248,,OUG
2026-03-12,SPG,XROCK,SPG,1,Coastal,SPG,9,5
2026-03-12,SPG,XROCK,SPG,2,Hacienda,XROCK,250,230
2026-03-12,SPG,XROCK,SPG,3,Standoff,XROCK,4,2
2026-03-12,SPG,XROCK,SPG,4,Meltdown,SPG,9,3
2026-03-12,SPG,XROCK,SPG,5,Takeoff,XROCK,250,163,,XROCK
2026-03-12,DVS,HF,DVS,1,Tunisia,DVS,9,6
2026-03-12,DVS,HF,DVS,2,Summit,HF,250,243
2026-03-12,DVS,HF,DVS,3,Raid,DVS,4,0
2026-03-12,DVS,HF,DVS,4,Meltdown,DVS,9,6
2026-03-13,ELV,TSM,ELV,1,Firing Range,ELV,9,4
2026-03-13,ELV,TSM,ELV,2,Arsenal,ELV,250,231
2026-03-13,ELV,TSM,ELV,3,Crossroads Strike,TSM,4,2
2026-03-13,ELV,TSM,ELV,4,Slums,ELV,9,3
2026-03-13,DVS,XROCK,XROCK,1,Firing Range,DVS,9,5
